instance,population,block_size,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,transfer_overhead_pct
large,4096,256,cuda_basic,45,0.196069,Yes,57084,524.547,55392,0.0354629
large,4096,256,cuda_basic,46,0.196503,Yes,58253,525.236,56563.7,0.0343204
large,4096,256,cuda_basic,47,0.19703,Yes,57865,525.163,56169.8,0.0346223
large,4096,256,cuda_basic,48,0.195513,Yes,57892,525.443,56199.2,0.034704
large,4096,256,cuda_basic,49,0.197184,Yes,58172,523.78,56484.4,0.0344767
large,4096,256,cuda_basic,50,0.196597,Yes,58123,523.068,56431.4,0.0342961
large,4096,256,cuda_basic,51,0.196616,Yes,58038,523.132,56346.4,0.0346641
large,4096,256,cuda_optimized,42,0.196701,Yes,78354,524.029,76660.3,0.0261123
large,4096,256,cuda_optimized,43,0.196392,Yes,78355,525.085,76657.3,0.0262811
large,4096,256,cuda_optimized,44,0.195595,Yes,78501,524.85,76803.6,0.0259381
large,4096,256,cuda_optimized,45,0.196069,Yes,78278,524.003,76583.3,0.0259481
large,4096,256,cuda_optimized,46,0.196503,Yes,78619,522.956,76926.6,0.0260376
large,4096,256,cuda_optimized,47,0.19703,Yes,78194,521.819,76499.8,0.0263681
large,4096,256,cuda_optimized,48,0.195513,Yes,78504,524.531,76808.1,0.0260915
large,4096,256,cuda_optimized,49,0.197184,Yes,78328,523.043,76638.8,0.0261598
large,4096,256,cuda_optimized,50,0.196597,Yes,78488,523.708,76799.1,0.0258951
large,4096,256,cuda_optimized,51,0.196616,Yes,78324,523.216,76630.8,0.0260283
