instance_size,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,h2d_transfer_ms,d2h_transfer_ms,feasible_pct,init_fitness,final_fitness,improvement
small,4096,cuda_optimized,45,0.248904,Yes,279,3.77123,33.2369,0.28704,6.27229,23.1689,0.166046,0.248904,0.0828582
small,4096,cuda_optimized,46,0.248904,Yes,279,3.65341,32.812,0.274496,6.54333,21.6309,0.168561,0.248904,0.0803431
small,4096,cuda_optimized,47,0.248904,Yes,278,3.69651,32.1393,0.286944,6.79552,22.29,0.163449,0.248904,0.0854557
small,4096,cuda_optimized,48,0.248904,Yes,284,3.5681,32.5253,0.277088,6.45091,23.1445,0.168355,0.248904,0.0805492
small,4096,cuda_optimized,49,0.248904,Yes,288,3.88336,34.5793,0.290912,7.06096,22.5342,0.161189,0.248904,0.0877152
small,4096,cuda_optimized,50,0.248904,Yes,301,4.25632,38.0578,0.283584,7.76371,23.584,0.160769,0.248904,0.0881357
small,4096,cuda_optimized,51,0.248904,Yes,275,3.60128,31.6457,0.32208,5.90416,21.6064,0.167514,0.248904,0.0813903
small,16384,sequential,42,0.248904,Yes,10641,,,,,100,0.175966,0.248904,0.0729379
small,16384,sequential,43,0.248904,Yes,10690,,,,,100,0.180205,0.248904,0.0686994
small,16384,sequential,44,0.248904,Yes,11260,,,,,100,0.181244,0.248904,0.0676603
small,16384,sequential,45,0.248904,Yes,10862,,,,,100,0.183223,0.248904,0.0656812
small,16384,sequential,46,0.248904,Yes,11267,,,,,100,0.181203,0.248904,0.0677016
small,16384,sequential,47,0.248904,Yes,11260,,,,,100,0.18418,0.248904,0.0647247
small,16384,sequential,48,0.248904,Yes,9794,,,,,100,0.182868,0.248904,0.0660358
small,16384,sequential,49,0.248904,Yes,9380,,,,,100,0.18272,0.248904,0.0661843
small,16384,sequential,50,0.248904,Yes,10015,,,,,100,0.17938,0.248904,0.069524
small,16384,sequential,51,0.248904,Yes,12014,,,,,100,0.183495,0.248904,0.0654091
small,16384,cuda_basic,42,0.248904,Yes,542,4.4353,46.2918,0.61696,9.13344,25.5127,0.169081,0.248904,0.0798235
small,16384,cuda_basic,43,0.248904,Yes,648,5.94511,61.7194,0.6352,12.5596,23.1506,0.179034,0.248904,0.0698703
small,16384,cuda_basic,44,0.248904,Yes,498,4.01366,41.5566,0.63008,8.25734,23.8953,0.176024,0.248904,0.0728802
small,16384,cuda_basic,45,0.248904,Yes,558,4.73289,49.3389,0.604128,9.85165,22.9187,0.166046,0.248904,0.0828582
small,16384,cuda_basic,46,0.248904,Yes,526,4.48723,46.3966,0.647424,9.54103,22.4915,0.167943,0.248904,0.0809615
small,16384,cuda_basic,47,0.248904,Yes,542,4.55261,47.3979,0.605056,9.70471,23.3215,0.169666,0.248904,0.0792381
small,16384,cuda_basic,48,0.248904,Yes,571,4.94595,51.9222,0.625984,10.7625,24.3103,0.175488,0.248904,0.0734162
small,16384,cuda_basic,49,0.248904,Yes,526,4.48221,46.7769,0.611968,9.81565,24.0967,0.167613,0.248904,0.0812914
small,16384,cuda_basic,50,0.248904,Yes,499,4.04816,41.8594,0.612512,8.49696,23.3521,0.173996,0.248904,0.0749088
small,16384,cuda_basic,51,0.248904,Yes,513,4.26163,43.9582,0.61088,9.00518,24.4019,0.168157,0.248904,0.0807471
small,16384,cuda_optimized,42,0.248904,Yes,493,4.69322,44.0402,0.637984,8.78656,25.5127,0.169081,0.248904,0.0798235
small,16384,cuda_optimized,43,0.248904,Yes,633,6.54429,62.5899,0.610816,12.2718,23.1506,0.179034,0.248904,0.0698703
small,16384,cuda_optimized,44,0.248904,Yes,482,4.55856,42.2226,0.621088,8.26614,23.8953,0.176024,0.248904,0.0728802
small,16384,cuda_optimized,45,0.248904,Yes,537,5.41949,50.1361,0.613216,9.9431,22.9187,0.166046,0.248904,0.0828582
small,16384,cuda_optimized,46,0.248904,Yes,518,4.93261,47.1573,0.610208,9.26797,22.4915,0.167943,0.248904,0.0809615
small,16384,cuda_optimized,47,0.248904,Yes,522,5.0567,48.1833,0.611168,9.35629,23.3215,0.169666,0.248904,0.0792381
