instance_size,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,h2d_transfer_ms,d2h_transfer_ms,feasible_pct,init_fitness,final_fitness,improvement
small,1024,cuda_optimized,42,0.248904,Yes,219,7.74038,48.4714,0.5896,7.98531,23.2422,0.154411,0.248904,0.0945
small,1024,cuda_optimized,43,0.248212,Yes,243,8.3665,56.2298,0.537664,9.72157,28.0273,0.148968,0.248212,0.0992
small,1024,cuda_optimized,44,0.248904,Yes,276,11.0671,69.8912,0.49584,11.5916,21.6797,0.165024,0.248904,0.0839
small,1024,cuda_optimized,45,0.248212,Yes,257,9.75053,60.2748,0.516352,11.1802,27.832,0.164883,0.248212,0.0833
small,1024,cuda_optimized,46,0.248904,Yes,298,11.6188,71.3361,0.56304,13.2301,23.6328,0.156604,0.248904,0.0923
small,1024,cuda_optimized,47,0.248904,Yes,241,8.79699,55.6658,0.527584,10.4544,21.9727,0.150683,0.248904,0.0982
small,1024,cuda_optimized,48,0.248212,Yes,178,5.10698,31.2691,0.548384,5.8743,27.7344,0.153998,0.248212,0.0942
small,1024,cuda_optimized,49,0.248904,Yes,253,9.19124,58.4187,0.51888,10.8572,22.6562,0.156777,0.248904,0.0921
small,1024,cuda_optimized,50,0.248847,Yes,289,11.508,72.9751,0.528352,13.4988,21.582,0.152423,0.248847,0.0964
small,1024,cuda_optimized,51,0.247841,Yes,285,11.2006,68.7635,0.620608,13.1472,20.8984,0.151813,0.247841,0.096
small,4096,sequential,42,0.248904,Yes,4293,0.152944,0.248904,0.096
small,4096,sequential,43,0.248904,Yes,3546,0.152854,0.248904,0.0961
small,4096,sequential,44,0.248904,Yes,3898,0.160175,0.248904,0.0887
small,4096,sequential,45,0.248904,Yes,2664,0.159449,0.248904,0.0895
small,4096,sequential,46,0.248904,Yes,3465,0.162673,0.248904,0.0862
small,4096,sequential,47,0.248904,Yes,3158,0.154189,0.248904,0.0947
small,4096,sequential,48,0.248904,Yes,3565,0.151255,0.248904,0.0976
small,4096,sequential,49,0.248904,Yes,3909,0.165312,0.248904,0.0836
small,4096,sequential,50,0.248904,Yes,3865,0.156069,0.248904,0.0928
small,4096,sequential,51,0.248904,Yes,3415,0.164696,0.248904,0.0842
small,4096,cuda_basic,42,0.248904,Yes,358,3.82448,26.3598,0.557248,10.5106,21.3623,0.176041,0.248904,0.0729
small,4096,cuda_basic,43,0.248904,Yes,371,3.69936,26.7098,0.61504,10.5424,22.6318,0.157404,0.248904,0.0915
small,4096,cuda_basic,44,0.248904,Yes,412,3.53523,28.5862,0.539648,11.5718,22.168,0.160901,0.248904,0.088
small,4096,cuda_basic,45,0.248904,Yes,406,3.80617,29.6174,0.570144,12.6242,22.9736,0.173567,0.248904,0.0753
small,4096,cuda_basic,46,0.248904,Yes,420,4.02326,30.4779,0.584768,11.6493,24.2188,0.157346,0.248904,0.0916
small,4096,cuda_basic,47,0.248904,Yes,350,2.9263,24.4792,1.16096,8.51331,23.1689,0.160859,0.248904,0.088
small,4096,cuda_basic,48,0.248904,Yes,398,3.56272,29.1351,0.564832,9.43853,22.5098,0.166904,0.248904,0.082
small,4096,cuda_basic,49,0.248904,Yes,415,4.32432,31.7785,0.53552,11.0882,22.4609,0.155359,0.248904,0.0935
small,4096,cuda_basic,50,0.248904,Yes,365,3.54064,26.3736,0.567296,9.75139,24.3408,0.164265,0.248904,0.0846
small,4096,cuda_basic,51,0.248904,Yes,358,3.27158,25.0363,0.564928,9.58103,25.5127,0.161148,0.248904,0.0878
small,4096,cuda_optimized,42,0.248904,Yes,355,7.18131,45.6196,0.539904,8.43133,21.3623,0.176041,0.248904,0.0729
small,4096,cuda_optimized,43,0.248904,Yes,357,7.58723,45.3474,0.537312,8.62154,22.6318,0.157404,0.248904,0.0915
small,4096,cuda_optimized,44,0.248904,Yes,376,7.86323,48.6383,0.547008,9.36275,22.168,0.160901,0.248904,0.088
small,4096,cuda_optimized,45,0.248904,Yes,381,8.12141,50.1212,0.527744,9.80672,22.9736,0.173567,0.248904,0.0753
small,4096,cuda_optimized,46,0.248904,Yes,401,8.27037,51.7764,0.532832,10.501,24.2188,0.157346,0.248904,0.0916
small,4096,cuda_optimized,47,0.248904,Yes,348,6.20768,39.05,0.527072,7.53286,23.1689,0.160859,0.248904,0.088
small,4096,cuda_optimized,48,0.248904,Yes,366,7.33808,46.4654,0.59888,9.30294,22.5098,0.166904,0.248904,0.082
small,4096,cuda_optimized,49,0.248904,Yes,394,8.22365,50.6711,0.543808,9.8775,22.4609,0.155359,0.248904,0.0935
small,4096,cuda_optimized,50,0.248904,Yes,353,6.91898,43.9242,0.539712,8.2383,24.3408,0.164265,0.248904,0.0846
small,4096,cuda_optimized,51,0.248904,Yes,333,6.89936,41.6639,0.719808,7.91808,25.5127,0.161148,0.248904,0.0878
medium,512,sequential,42,0.23176,Yes,9686,0.105748,0.23176,0.126
medium,512,sequential,43,0.2318,Yes,6107,0.109469,0.2318,0.1223
medium,512,sequential,44,0.233874,Yes,10114,0.100914,0.233874,0.133
medium,512,sequential,45,0.2335,Yes,12398,0.114162,0.2335,0.1193
medium,512,sequential,46,0.23245,Yes,8132,0.103524,0.23245,0.1289
medium,512,sequential,47,0.233198,Yes,8646,0.100424,0.233198,0.1328
medium,512,sequential,48,0.232538,Yes,8063,0.0987854,0.232538,0.1338
medium,512,sequential,49,0.232636,Yes,8920,0.104965,0.232636,0.1277
medium,512,sequential,50,0.233692,Yes,9587,0.0997511,0.233692,0.1339
medium,512,sequential,51,0.234786,Yes,10240,0.10166,0.234786,0.1331
medium,512,cuda_basic,42,0.218954,Yes,1377,36.3318,1159.62,0.555968,15.0026,9.76562,0.128767,0.218954,0.0902
