instance,population,block_size,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,transfer_overhead_pct
large,4096,256,cuda_basic,45,0.223073,Yes,2189,50.0897,1525.97,0.864488
large,4096,256,cuda_basic,46,0.219957,Yes,1279,27.915,834.556,0.907909
large,4096,256,cuda_basic,47,0.223704,Yes,1632,36.4123,1113.5,0.883692
large,4096,256,cuda_basic,48,0.220541,Yes,1435,31.5331,947.792,0.899091
large,4096,256,cuda_basic,49,0.223865,Yes,2180,49.9226,1525.33,0.85543
large,4096,256,cuda_basic,50,0.224602,Yes,2169,49.4153,1494.5,0.939217
large,4096,256,cuda_basic,51,0.224233,Yes,2204,49.9684,1522.37,0.895988
large,4096,256,cuda_optimized,42,0.222223,Yes,2623,49.3849,2046.85,0.627747
large,4096,256,cuda_optimized,43,0.223777,Yes,2661,49.7148,2068.48,0.647087
large,4096,256,cuda_optimized,44,0.224195,Yes,2777,52.2209,2154.56,0.650234
large,4096,256,cuda_optimized,45,0.223073,Yes,2953,55.4719,2305.21,0.620787
large,4096,256,cuda_optimized,46,0.219957,Yes,1696,30.9191,1261.37,0.636145
large,4096,256,cuda_optimized,47,0.223704,Yes,2210,40.4738,1677.25,0.622198
large,4096,256,cuda_optimized,48,0.220541,Yes,1918,35.1824,1428.83,0.625073
large,4096,256,cuda_optimized,49,0.223865,Yes,2953,55.8131,2308.56,0.622986
large,4096,256,cuda_optimized,50,0.224602,Yes,2905,55.2561,2262.22,0.620116
large,4096,256,cuda_optimized,51,0.224233,Yes,2941,55.3941,2300.24,0.626371
